run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,fuzzy_t2,1364,1943,2087,False,8673,187523,166322,88.6941868464135,1.0004161220624717,0.8873109445437328,0.0,399.1960106076329,1094.0,187445,9396,,,1610.0947265625,2257.2231800766285
1,1,fuzzy_t2,1468,2024,2109,False,8852,192978,170878,88.54791737918312,1.000368052999632,0.8858050770578569,0.0,400.31484410302755,974.0,192907,9663,4.680431989999267,13.212186000018846,,2314.9383886255923
2,2,fuzzy_t2,1426,2013,2117,False,9294,191919,179913,93.744235849499,1.0003857280617166,0.9378039563189032,0.0,401.5516462233699,994.0,191845,9667,4.696173182375574,13.319649899960496,,2284.8588290840416
3,3,fuzzy_t2,1542,2046,2164,False,9523,198164,184618,93.16424779475587,1.0003786176920475,0.9319952142723725,0.0,402.12496062165286,974.0,198089,10055,4.597282355788915,13.302392999990843,,2323.238337182448
4,4,fuzzy_t2,1516,2008,2202,False,9125,195030,177845,91.18853509716453,1.0003847041624991,0.9122361570618861,0.0,404.6236712328767,1014.0,194955,10068,4.418037039968868,13.100238299986813,,2224.4929641398094
5,5,fuzzy_t2,1508,1991,2057,False,8882,190442,173360,91.0303399460203,1.000425507325555,0.9106907402251512,0.0,405.0878180589957,1094.0,190361,9626,4.590396743663293,12.68164100003196,,2355.044703595724
6,6,fuzzy_t2,1449,1993,2097,False,8809,189694,168901,89.03866226659778,1.0003849784570273,0.8907294023341297,0.0,398.0642524690657,994.0,189621,9530,4.572574117651975,12.89644209999824,,2277.3155386081985
7,7,fuzzy_t2,1514,2039,2136,False,9485,194163,183354,94.43302791984055,1.0003864226536416,0.9446951898108075,0.0,400.9595150237217,994.0,194088,9931,4.549659757148631,13.05892149999272,,2294.127281235377
8,8,fuzzy_t2,1410,2002,2173,False,9217,192882,178877,92.73908399954377,1.0004512565159884,0.9278093311548536,0.0,402.5923836389281,1094.0,192795,9506,4.418239329275208,12.890213600010611,,2226.279208831647
9,9,fuzzy_t2,1501,2013,2124,False,9374,193758,179462,92.62172400623459,1.0004078914079482,0.9265950361164608,0.0,396.89449541284404,1054.0,193679,9562,4.552724799743908,12.977872499963269,,2308.645176470588
10,10,fuzzy_t2,1349,2014,2087,False,8976,189331,174027,91.91680179157137,1.0003910027105998,0.9195274151022155,0.0,402.15886809269165,1114.0,189257,9491,4.527229262720856,12.663763299991842,,2287.7768199233715
11,11,fuzzy_t2,1414,2014,2112,False,8939,192172,173897,90.49028994858772,1.0003591823136546,0.9052279246029474,0.0,403.5548719096096,974.0,192103,9550,4.6432457174607755,13.149884100013878,,2297.730241362991
12,12,fuzzy_t2,1451,1962,2020,False,8790,186594,172091,92.22750999496232,1.0004181946857107,0.9226607904951853,0.0,406.3613196814562,1014.0,186516,9372,4.652557792140882,12.591829399985727,,2345.497773379515
13,13,fuzzy_t2,1439,2009,2136,False,8969,193177,175519,90.85916025199687,1.0003883957701112,0.908944495655146,0.0,405.77043148623034,1054.0,193102,9720,4.54364773051645,12.979381699988153,,2282.3617220402434
14,14,fuzzy_t2,1454,1970,2048,False,8829,187834,171751,91.43765239520002,1.0003994482288465,0.9147417700349917,0.0,403.6470721486012,1034.0,187759,9489,4.659425230587029,12.774879700038582,,2319.973157637872
