protocol,ch_bs_m
leach,111.18803642736368
leach,66.14903607728604
leach,72.89404434455805
leach,153.4334104713536
leach,103.91557221811529
leach,124.6487393452616
leach,93.31040793663637
leach,92.34196587998277
leach,63.32267218119976
leach,125.28559106234326
leach,108.05496654040371
leach,146.01411315472376
leach,77.52934133562512
leach,112.44443302882236
leach,124.82394632922185
leach,113.37653457353142
leach,150.8584914820693
leach,103.505907038815
leach,128.83619724376456
leach,122.09751628222685
leach,116.16518500669753
leach,109.08291839737856
leach,84.07492583439208
leach,73.37822181956847
leach,92.34196587998277
leach,87.06711042055343
leach,111.18803642736368
leach,106.50519201499225
leach,69.17176904147875
leach,148.2260796875108
leach,77.52934133562512
leach,116.28934913679355
leach,87.77646613386905
leach,101.4517321718702
leach,56.05375923755522
leach,110.35408952766372
leach,65.84958958924838
leach,104.5951356147303
leach,67.66246524854222
leach,136.18411568379213
leach,75.2812528908016
leach,127.30171828070853
leach,85.86941132136697
leach,116.16518500669753
leach,75.23715863101869
leach,106.26112973777497
leach,77.67743166317787
leach,124.6487393452616
leach,78.08032873507888
leach,118.55566504542062
leach,145.71673694538347
leach,96.5536871400195
leach,102.91662350523343
leach,68.20261338754389
leach,109.88476166808617
leach,74.82077432886999
leach,63.32267218119976
leach,155.557801553171
leach,103.91557221811529
leach,96.52784684227717
leach,95.00849786629537
leach,135.3414363787646
leach,143.5393603418307
leach,116.44949597422344
leach,140.47915659639668
leach,135.9069579480279
leach,155.33761610796316
leach,143.45167963414045
leach,126.36894079964719
leach,65.13496779532511
leach,146.01411315472376
leach,68.84052988766706
leach,73.10771738181019
leach,108.05496654040371
leach,103.505907038815
leach,122.09751628222685
leach,113.95036602565
leach,72.89404434455805
leach,83.55094446493348
leach,95.2409170540504
leach,95.63951763263591
leach,69.35349813624539
leach,123.70544251767234
leach,68.99711831444226
leach,109.08291839737856
leach,75.17622642400973
leach,126.63303292271824
leach,68.84607853242912
leach,95.54706882646286
leach,150.8584914820693
leach,112.32920396531438
leach,153.4334104713536
leach,88.26678296224871
leach,78.84268575844266
leach,93.31040793663637
leach,121.18440474370232
leach,55.84111667727001
leach,52.966498146558486
leach,61.990188745117685
leach,70.74337401873021
leach,112.44443302882236
leach,113.37653457353142
leach,136.419012845333
leach,68.92944548291908
leach,109.049974878429
leach,128.83619724376456
leach,61.352258818789295
leach,138.79033054377015
leach,151.7452091178452
leach,120.34961655075337
leach,137.40408526718204
leach,86.74198407540369
leach,94.02649697669622
leach,147.0385305726658
leach,66.14903607728604
leach,84.07492583439208
leach,125.28559106234326
leach,79.00048525265677
leach,70.70587244276537
leach,124.82394632922185
leach,94.92491085314222
leach,139.3520431707876
leach,73.37822181956847
leach,94.9690796819821
leach,85.86941132136697
leach,67.66246524854222
leach,95.00849786629537
leach,118.55566504542062
leach,113.37653457353142
leach,78.08032873507888
leach,65.84958958924838
leach,116.44949597422344
leach,150.8584914820693
leach,106.50519201499225
leach,145.71673694538347
leach,102.91662350523343
leach,148.2260796875108
leach,68.99711831444226
leach,63.32267218119976
leach,75.23715863101869
leach,155.33761610796316
leach,136.18411568379213
leach,95.63951763263591
leach,139.3520431707876
leach,69.17176904147875
leach,83.55094446493348
leach,88.26678296224871
leach,124.82394632922185
leach,126.36894079964719
leach,95.2409170540504
leach,113.95036602565
leach,109.88476166808617
leach,120.34961655075337
leach,116.28934913679355
leach,73.10771738181019
leach,153.4334104713536
leach,68.84607853242912
leach,94.92491085314222
leach,135.3414363787646
leach,70.70587244276537
leach,65.13496779532511
leach,77.67743166317787
leach,123.70544251767234
leach,87.06711042055343
leach,109.08291839737856
leach,96.5536871400195
leach,124.6487393452616
leach,96.52784684227717
leach,151.7452091178452
leach,66.14903607728604
leach,135.9069579480279
leach,137.40408526718204
leach,68.20261338754389
leach,136.419012845333
leach,106.26112973777497
leach,103.91557221811529
leach,121.18440474370232
leach,68.92944548291908
leach,101.4517321718702
leach,109.049974878429
leach,86.74198407540369
leach,128.83619724376456
leach,61.352258818789295
leach,155.557801553171
leach,93.31040793663637
leach,112.32920396531438
leach,84.07492583439208
leach,125.28559106234326
leach,70.74337401873021
leach,68.84052988766706
leach,55.84111667727001
leach,77.52934133562512
leach,79.00048525265677
leach,116.16518500669753
leach,74.82077432886999
leach,140.47915659639668
leach,75.17622642400973
leach,75.2812528908016
leach,112.44443302882236
leach,143.5393603418307
leach,138.79033054377015
leach,73.37822181956847
leach,92.34196587998277
leach,108.05496654040371
leach,127.30171828070853
leach,122.09751628222685
leach,147.0385305726658
leach,111.18803642736368
leach,126.63303292271824
leach,61.990188745117685
leach,146.01411315472376
leach,78.84268575844266
leach,69.35349813624539
leach,95.54706882646286
leach,52.966498146558486
leach,104.5951356147303
leach,72.89404434455805
leach,87.77646613386905
leach,94.02649697669622
leach,143.45167963414045
leach,56.05375923755522
leach,110.35408952766372
leach,94.9690796819821
leach,103.505907038815
leach,85.86941132136697
leach,148.2260796875108
leach,87.06711042055343
leach,136.18411568379213
leach,95.00849786629537
leach,147.0385305726658
leach,104.5951356147303
leach,146.01411315472376
leach,94.02649697669622
leach,77.67743166317787
leach,92.34196587998277
leach,153.4334104713536
leach,96.5536871400195
leach,102.91662350523343
leach,78.84268575844266
leach,68.84052988766706
leach,118.55566504542062
leach,103.505907038815
leach,126.36894079964719
leach,116.16518500669753
leach,123.70544251767234
leach,108.05496654040371
leach,86.74198407540369
leach,83.55094446493348
leach,155.33761610796316
leach,113.37653457353142
leach,94.92491085314222
leach,96.52784684227717
leach,136.419012845333
leach,70.74337401873021
leach,111.18803642736368
leach,135.3414363787646
leach,145.71673694538347
leach,106.26112973777497
leach,93.31040793663637
leach,109.88476166808617
leach,95.54706882646286
leach,55.84111667727001
leach,150.8584914820693
leach,101.4517321718702
leach,74.82077432886999
leach,77.52934133562512
leach,106.50519201499225
leach,87.77646613386905
leach,79.00048525265677
leach,103.91557221811529
leach,143.5393603418307
leach,122.09751628222685
leach,95.63951763263591
leach,139.3520431707876
leach,68.92944548291908
leach,124.82394632922185
leach,95.2409170540504
leach,52.966498146558486
leach,120.34961655075337
leach,78.08032873507888
leach,65.84958958924838
leach,68.99711831444226
leach,73.37822181956847
leach,75.17622642400973
leach,75.2812528908016
leach,70.70587244276537
leach,155.557801553171
leach,110.35408952766372
leach,113.95036602565
leach,116.44949597422344
leach,67.66246524854222
leach,84.07492583439208
leach,125.28559106234326
leach,73.10771738181019
leach,128.83619724376456
leach,61.352258818789295
leach,124.6487393452616
leach,66.14903607728604
leach,88.26678296224871
leach,68.20261338754389
leach,72.89404434455805
leach,65.13496779532511
leach,75.23715863101869
leach,56.05375923755522
leach,116.28934913679355
leach,112.44443302882236
leach,137.40408526718204
leach,109.049974878429
leach,127.30171828070853
leach,121.18440474370232
leach,140.47915659639668
leach,112.32920396531438
leach,109.08291839737856
leach,63.32267218119976
leach,94.9690796819821
leach,68.84607853242912
leach,138.79033054377015
leach,126.63303292271824
leach,61.990188745117685
leach,69.17176904147875
leach,135.9069579480279
leach,143.45167963414045
leach,69.35349813624539
leach,151.7452091178452
leach,95.54706882646286
leach,84.07492583439208
leach,135.3414363787646
leach,112.44443302882236
leach,94.9690796819821
leach,85.86941132136697
leach,103.91557221811529
leach,151.7452091178452
leach,69.17176904147875
leach,128.83619724376456
leach,124.82394632922185
leach,95.2409170540504
leach,65.84958958924838
leach,116.16518500669753
leach,137.40408526718204
leach,67.66246524854222
leach,96.52784684227717
leach,68.20261338754389
leach,95.00849786629537
leach,116.28934913679355
leach,66.14903607728604
leach,101.4517321718702
leach,65.13496779532511
leach,83.55094446493348
leach,109.88476166808617
leach,140.47915659639668
leach,70.70587244276537
leach,61.352258818789295
leach,56.05375923755522
leach,124.6487393452616
leach,113.95036602565
leach,136.419012845333
leach,126.63303292271824
leach,72.89404434455805
leach,87.77646613386905
leach,102.91662350523343
leach,146.01411315472376
leach,113.37653457353142
leach,77.52934133562512
leach,118.55566504542062
leach,73.37822181956847
leach,94.92491085314222
leach,110.35408952766372
leach,69.35349813624539
leach,70.74337401873021
leach,148.2260796875108
leach,123.70544251767234
leach,138.79033054377015
leach,68.99711831444226
leach,112.32920396531438
leach,79.00048525265677
leach,92.34196587998277
leach,75.2812528908016
leach,103.505907038815
leach,104.5951356147303
leach,155.33761610796316
leach,143.45167963414045
leach,125.28559106234326
leach,73.10771738181019
leach,108.05496654040371
leach,127.30171828070853
leach,77.67743166317787
leach,136.18411568379213
leach,147.0385305726658
leach,111.18803642736368
leach,52.966498146558486
leach,75.17622642400973
leach,61.990188745117685
leach,106.26112973777497
leach,68.84607853242912
leach,143.5393603418307
leach,95.63951763263591
leach,145.71673694538347
leach,75.23715863101869
leach,122.09751628222685
leach,74.82077432886999
leach,116.44949597422344
leach,139.3520431707876
leach,93.31040793663637
leach,78.08032873507888
leach,68.84052988766706
leach,55.84111667727001
leach,109.049974878429
leach,153.4334104713536
leach,96.5536871400195
leach,78.84268575844266
leach,121.18440474370232
leach,150.8584914820693
leach,88.26678296224871
leach,155.557801553171
leach,87.06711042055343
leach,120.34961655075337
leach,63.32267218119976
leach,68.92944548291908
leach,135.9069579480279
leach,86.74198407540369
leach,94.02649697669622
leach,126.36894079964719
leach,109.08291839737856
leach,106.50519201499225
leach,75.23715863101869
leach,103.91557221811529
leach,67.66246524854222
leach,94.92491085314222
leach,68.84052988766706
leach,151.7452091178452
leach,106.50519201499225
leach,70.70587244276537
leach,155.33761610796316
leach,78.08032873507888
leach,87.06711042055343
leach,126.63303292271824
leach,69.17176904147875
leach,153.4334104713536
leach,113.37653457353142
leach,69.35349813624539
leach,109.88476166808617
leach,111.18803642736368
leach,125.28559106234326
leach,135.9069579480279
leach,94.9690796819821
leach,126.36894079964719
leach,95.63951763263591
leach,61.352258818789295
leach,124.82394632922185
leach,124.6487393452616
leach,138.79033054377015
leach,68.20261338754389
leach,74.82077432886999
leach,96.5536871400195
leach,155.557801553171
leach,77.67743166317787
leach,136.18411568379213
leach,121.18440474370232
leach,65.84958958924838
leach,63.32267218119976
leach,139.3520431707876
leach,61.990188745117685
leach,83.55094446493348
leach,116.44949597422344
leach,93.31040793663637
leach,116.16518500669753
leach,75.17622642400973
leach,109.049974878429
leach,103.505907038815
leach,95.54706882646286
leach,68.99711831444226
leach,118.55566504542062
leach,84.07492583439208
leach,79.00048525265677
leach,108.05496654040371
leach,94.02649697669622
leach,68.84607853242912
leach,143.5393603418307
leach,70.74337401873021
leach,140.47915659639668
leach,145.71673694538347
leach,86.74198407540369
leach,92.34196587998277
leach,109.08291839737856
leach,52.966498146558486
leach,66.14903607728604
leach,65.13496779532511
leach,56.05375923755522
leach,95.2409170540504
leach,136.419012845333
leach,150.8584914820693
leach,75.2812528908016
leach,135.3414363787646
leach,85.86941132136697
leach,78.84268575844266
leach,113.95036602565
leach,77.52934133562512
leach,72.89404434455805
leach,55.84111667727001
leach,112.44443302882236
leach,137.40408526718204
leach,127.30171828070853
leach,96.52784684227717
leach,95.00849786629537
leach,123.70544251767234
leach,122.09751628222685
leach,148.2260796875108
leach,120.34961655075337
leach,116.28934913679355
leach,73.37822181956847
leach,87.77646613386905
leach,73.10771738181019
leach,102.91662350523343
leach,104.5951356147303
leach,106.26112973777497
leach,146.01411315472376
leach,88.26678296224871
leach,147.0385305726658
leach,112.32920396531438
leach,68.92944548291908
leach,128.83619724376456
leach,143.45167963414045
leach,110.35408952766372
leach,101.4517321718702
leach,68.84607853242912
leach,143.5393603418307
leach,113.37653457353142
leach,110.35408952766372
leach,113.95036602565
leach,86.74198407540369
leach,61.352258818789295
leach,146.01411315472376
leach,72.89404434455805
leach,77.67743166317787
leach,94.92491085314222
leach,93.31040793663637
leach,78.08032873507888
leach,121.18440474370232
leach,95.00849786629537
leach,74.82077432886999
leach,116.44949597422344
leach,55.84111667727001
leach,139.3520431707876
leach,94.02649697669622
leach,124.82394632922185
leach,95.2409170540504
leach,87.06711042055343
leach,84.07492583439208
leach,79.00048525265677
leach,104.5951356147303
leach,155.557801553171
leach,143.45167963414045
leach,69.35349813624539
leach,118.55566504542062
leach,69.17176904147875
leach,101.4517321718702
leach,137.40408526718204
leach,75.23715863101869
leach,124.6487393452616
leach,136.18411568379213
leach,68.20261338754389
leach,68.84052988766706
leach,151.7452091178452
leach,147.0385305726658
leach,150.8584914820693
leach,125.28559106234326
leach,73.10771738181019
leach,83.55094446493348
leach,67.66246524854222
leach,140.47915659639668
leach,52.966498146558486
leach,75.17622642400973
leach,63.32267218119976
leach,75.2812528908016
leach,126.36894079964719
leach,155.33761610796316
leach,56.05375923755522
leach,78.84268575844266
